"","from","to","source","path","from.Role","to.Role"
"24120","TSHB","RXRA","NicheNet","TSHB*RXRA","Receptor","TF"
"24121","TNFRSF4","CREB1","NicheNet","TNFRSF4*CREB1","Receptor","TF"
"24122","UCN","SMAD2","NicheNet","UCN*SMAD2","Receptor","TF"
"24123","CDH23","TCF12","NicheNet","CDH23*TCF12","Receptor","TF"
"24124","CDH23","POU5F1","NicheNet","CDH23*POU5F1","Receptor","TF"
"24125","VCAM1","NFKB1","NicheNet","VCAM1*NFKB1","Receptor","TF"
"24126","VCAM1","IRF1","NicheNet","VCAM1*IRF1","Receptor","TF"
"24127","VCAM1","CCND1","NicheNet","VCAM1*CCND1","Receptor","TF"
"24128","VCAM1","RXRA","NicheNet","VCAM1*RXRA","Receptor","TF"
"24129","VCAM1","STAG1","NicheNet","VCAM1*STAG1","Receptor","TF"
"24130","VCAM1","LTBR","NicheNet","VCAM1*LTBR","Receptor","TF"
"24131","VDR","RARA","NicheNet","VDR*RARA","Receptor","TF"
"24132","VEGFA","PIGF","NicheNet","VEGFA*PIGF","Receptor","TF"
"24133","VEGFA","ERBB3","NicheNet","VEGFA*ERBB3","Receptor","TF"
"24134","VEGFA","GATA2","NicheNet","VEGFA*GATA2","Receptor","TF"
"24135","VEGFA","RET","NicheNet","VEGFA*RET","Receptor","TF"
"24136","VEGFA","IRF1","NicheNet","VEGFA*IRF1","Receptor","TF"
"24137","VEGFA","ERBB2","NicheNet","VEGFA*ERBB2","Receptor","TF"
"24138","VEGFA","FOXM1","NicheNet","VEGFA*FOXM1","Receptor","TF"
"24139","VLDLR","ERBB3","NicheNet","VLDLR*ERBB3","Receptor","TF"
"24140","VLDLR","PPARA","NicheNet","VLDLR*PPARA","Receptor","TF"
"24141","VTN","FOS","NicheNet","VTN*FOS","Receptor","TF"
"24142","INSL5","TCF3","NicheNet","INSL5*TCF3","Receptor","TF"
"24143","INSL5","NR1I2","NicheNet","INSL5*NR1I2","Receptor","TF"
"24144","INSL5","IGF1R","NicheNet","INSL5*IGF1R","Receptor","TF"
"24145","INSL5","SP1","NicheNet","INSL5*SP1","Receptor","TF"
"24146","INSL5","SREBF2","NicheNet","INSL5*SREBF2","Receptor","TF"
"24147","INSL5","MYC","NicheNet","INSL5*MYC","Receptor","TF"
"24148","INSL5","PBX1","NicheNet","INSL5*PBX1","Receptor","TF"
"24149","INSL5","FST","NicheNet","INSL5*FST","Receptor","TF"
"24150","INSL5","ATF2","NicheNet","INSL5*ATF2","Receptor","TF"
"24151","INSL5","CREB1","NicheNet","INSL5*CREB1","Receptor","TF"
"24152","INSL5","EGFR","NicheNet","INSL5*EGFR","Receptor","TF"
"24153","CCL19","LTBR","NicheNet","CCL19*LTBR","Receptor","TF"
"24154","KLRK1","ELF1","NicheNet","KLRK1*ELF1","Receptor","TF"
"24155","PODXL","POU5F1","NicheNet","PODXL*POU5F1","Receptor","TF"
"24156","PODXL","SOX2","NicheNet","PODXL*SOX2","Receptor","TF"
"24157","TNFSF14","NFATC1","NicheNet","TNFSF14*NFATC1","Receptor","TF"
"24158","GRIA3","XBP1","NicheNet","GRIA3*XBP1","Receptor","TF"
"24159","PCDH7","AKT1","NicheNet","PCDH7*AKT1","Receptor","TF"
"24160","PDGFC","EGFR","NicheNet","PDGFC*EGFR","Receptor","TF"
"24161","CLCF1","PGR","NicheNet","CLCF1*PGR","Receptor","TF"
"24162","CCL28","NFKB1","NicheNet","CCL28*NFKB1","Receptor","TF"
"24163","P2RY4","CREB1","NicheNet","P2RY4*CREB1","Receptor","TF"
"24164","NECTIN1","ITK","NicheNet","NECTIN1*ITK","Receptor","TF"
"24165","NECTIN1","MYD88","NicheNet","NECTIN1*MYD88","Receptor","TF"
"24166","GHRL","NR1H3","NicheNet","GHRL*NR1H3","Receptor","TF"
"24167","TRPV4","CTNNB1","NicheNet","TRPV4*CTNNB1","Receptor","TF"
"24168","JAM2","CCND1","NicheNet","JAM2*CCND1","Receptor","TF"
"24169","JAM2","PTEN","NicheNet","JAM2*PTEN","Receptor","TF"
"24170","JAM2","RUNX1","NicheNet","JAM2*RUNX1","Receptor","TF"
"24171","JAM2","ERG","NicheNet","JAM2*ERG","Receptor","TF"
"24172","DERL1","JUN","NicheNet","DERL1*JUN","Receptor","TF"
"24173","ESAM","AKT1","NicheNet","ESAM*AKT1","Receptor","TF"
"24174","HFE2","SMAD4","NicheNet","HFE2*SMAD4","Receptor","TF"
"24175","PTK7","RET","NicheNet","PTK7*RET","Receptor","TF"
"24176","PTK7","MET","NicheNet","PTK7*MET","Receptor","TF"
"24177","TNFRSF13C","LTBR","NicheNet","TNFRSF13C*LTBR","Receptor","TF"
"24178","ADIPOR1","TCF3","NicheNet","ADIPOR1*TCF3","Receptor","TF"
"24179","ADIPOR1","CREB1","NicheNet","ADIPOR1*CREB1","Receptor","TF"
"24180","ADIPOR1","NR1H3","NicheNet","ADIPOR1*NR1H3","Receptor","TF"
"24181","ADIPOR1","CEBPA","NicheNet","ADIPOR1*CEBPA","Receptor","TF"
"24182","ADIPOR1","FOXO1","NicheNet","ADIPOR1*FOXO1","Receptor","TF"
"24183","NTF4","PTK7","NicheNet","NTF4*PTK7","Receptor","TF"
"24184","KLRB1","JAK2","NicheNet","KLRB1*JAK2","Receptor","TF"
"24185","ERAP1","PPARA","NicheNet","ERAP1*PPARA","Receptor","TF"
"24186","ERAP1","RARA","NicheNet","ERAP1*RARA","Receptor","TF"
"24187","TLR9","LTBR","NicheNet","TLR9*LTBR","Receptor","TF"
"24188","TLR9","IRF8","NicheNet","TLR9*IRF8","Receptor","TF"
"24189","IL23A","GATA3","NicheNet","IL23A*GATA3","Receptor","TF"
